year,age,median_gross_monthly_income_including_employer_po_cpf,median_gross_monthly_income_excluding_employer_po_cpf
1996,15 - 29,1800,1500
1996,30 - 39,2250,1979
1996,40 - 49,2000,1750
1996,50 - 59,1500,1400
1996,60 & Over,1000,953
1997,15 - 29,1950,1625
1997,30 - 39,2450,2058
1997,40 - 49,2176,1950
1997,50 - 59,1613,1500
1997,60 & Over,1049,1000
1998,15 - 29,2040,1733
1998,30 - 39,2600,2167
1998,40 - 49,2400,2000
1998,50 - 59,1800,1517
1998,60 & Over,1050,1000
1999,15 - 29,1891,1719
1999,30 - 39,2384,2167
1999,40 - 49,2145,2000
1999,50 - 59,1690,1600
1999,60 & Over,1020,1000
2001,15 - 29,2300,2000
2001,30 - 39,2900,2500
2001,40 - 49,2400,2100
2001,50 - 59,2000,1800
2001,60 & Over,1121,1083
2002,15 - 29,2262,1979
2002,30 - 39,2900,2500
2002,40 - 49,2465,2167
2002,50 - 59,1988,1766
2002,60 & Over,1139,1100
2003,15 - 29,2262,1950
2003,30 - 39,2924,2550
2003,40 - 49,2500,2167
2003,50 - 59,2000,1800
2003,60 & Over,1121,1083
2004,15 - 29,2053,1842
2004,30 - 39,2938,2604
2004,40 - 49,2449,2167
2004,50 - 59,1907,1733
2004,60 & Over,1234,1200
2006,15 - 29,2203,1950
2006,30 - 39,3183,2917
2006,40 - 49,2500,2250
2006,50 - 59,1908,1788
2006,60 & Over,1199,1159
2007,15 - 29,2260,2000
2007,30 - 39,3427,3033
2007,40 - 49,2769,2500
2007,50 - 59,2000,1950
2007,60 & Over,1211,1200
2007a,15 - 29,2260,2000
2007a,30 - 39,3427,3033
2007a,40 - 49,2731,2500
2007a,50 - 59,2000,1950
2007a,60 & Over,1208,1200
2008,15 - 29,2481,2167
2008,30 - 39,3793,3358
2008,40 - 49,3101,2813
2008,50 - 59,2210,2000
2008,60 & Over,1349,1300
2009,15 - 29,2481,2167
2009,30 - 39,3741,3325
2009,40 - 49,3165,2917
2009,50 - 59,2330,2167
2009,60 & Over,1500,1458
2010,15 - 29,2518,2200
2010,30 - 39,3955,3488
2010,40 - 49,3435,3000
2010,50 - 59,2395,2167
2010,60 & Over,1575,1500
2011,15 - 29,2657,2300
2011,30 - 39,4254,3736
2011,40 - 49,3773,3375
2011,50 - 59,2645,2450
2011,60 & Over,1696,1600
2012,15 - 29,2741,2383
2012,30 - 39,4499,3957
2012,40 - 49,4196,3750
2012,50 - 59,2744,2500
2012,60 & Over,1731,1625
2013,15 - 29,2900,2500
2013,30 - 39,4776,4172
2013,40 - 49,4523,4000
2013,50 - 59,3087,2813
2013,60 & Over,1926,1800
2014,15 - 29,3016,2600
2014,30 - 39,5021,4333
2014,40 - 49,5000,4333
2014,50 - 59,3149,2925
2014,60 & Over,2000,1950
2015,15 - 29,3168,2708
2015,30 - 39,5134,4500
2015,40 - 49,5070,4469
2015,50 - 59,3393,3000
2015,60 & Over,2000,1950
2016,15 - 29,3296,2850
2016,30 - 39,5265,4536
2016,40 - 49,5231,4625
2016,50 - 59,3475,3033
2016,60 & Over,2180,2000
2017,15 - 29,3510,3000
2017,30 - 39,5417,4667
2017,40 - 49,5704,5000
2017,50 - 59,3673,3250
2017,60 & Over,2126,2000
2018,15 - 29,3510,3000
2018,30 - 39,5460,4667
2018,40 - 49,5850,5075
2018,50 - 59,3815,3425
2018,60 & Over,2352,2167
2019,15 - 29,3549,3033
2019,30 - 39,5655,4875
2019,40 - 49,6079,5250
2019,50 - 59,4095,3602
2019,60 & Over,2562,2385
2020,15 - 29,3627,3125
2020,30 - 39,5684,4875
2020,40 - 49,6187,5417
2020,50 - 59,4078,3600
2020,60 & Over,2330,2167
2021,15 - 29,3549,3033
2021,30 - 39,5660,4875
2021,40 - 49,6376,5525
2021,50 - 59,4437,3853
2021,60 & Over,2543,2400
2022,15 - 29,4000,3467
2022,30 - 39,6210,5400
2022,40 - 49,6825,5850
2022,50 - 59,5000,4333
2022,60 & Over,2621,2475
2023,15 - 29,4095,3548
2023,30 - 39,6210,5417
2023,40 - 49,7020,6000
2023,50 - 59,5070,4500
2023,60 & Over,2905,2654
2024,15 - 29,4212,3646
2024,30 - 39,6348,5483
2024,40 - 49,7470,6466
2024,50 - 59,5668,5000
2024,60 & Over,3052,2850
2025,15 - 29,4417,3792
2025,30 - 39,6718,5786
2025,40 - 49,7731,6700
2025,50 - 59,5937,5200
2025,60 & Over,3222,2970
