year,sex,age,median_gross_monthly_income_including_employer_po_cpf,median_gross_monthly_income_excluding_employer_po_cpf
1996,Male,15 - 29,1820,1517
1996,Male,30 - 39,2400,2000
1996,Male,40 - 49,2212,2000
1996,Male,50 - 59,1680,1500
1996,Male,60 & Over,1050,1000
1996,Female,15 - 29,1800,1500
1996,Female,30 - 39,2080,1750
1996,Female,40 - 49,1450,1208
1996,Female,50 - 59,1120,1000
1996,Female,60 & Over,700,680
1997,Male,15 - 29,1950,1625
1997,Male,30 - 39,2600,2167
1997,Male,40 - 49,2400,2000
1997,Male,50 - 59,1820,1625
1997,Male,60 & Over,1137,1083
1997,Female,15 - 29,1950,1625
1997,Female,30 - 39,2250,1875
1997,Female,40 - 49,1726,1500
1997,Female,50 - 59,1200,1013
1997,Female,60 & Over,735,700
1998,Male,15 - 29,2080,1750
1998,Male,30 - 39,2750,2333
1998,Male,40 - 49,2600,2167
1998,Male,50 - 59,1960,1750
1998,Male,60 & Over,1137,1083
1998,Female,15 - 29,2026,1700
1998,Female,30 - 39,2400,2000
1998,Female,40 - 49,1890,1600
1998,Female,50 - 59,1282,1083
1998,Female,60 & Over,815,800
1999,Male,15 - 29,2000,1833
1999,Male,30 - 39,2521,2340
1999,Male,40 - 49,2384,2167
1999,Male,50 - 59,1980,1800
1999,Male,60 & Over,1200,1176
1999,Female,15 - 29,1788,1625
1999,Female,30 - 39,2200,2000
1999,Female,40 - 49,1760,1600
1999,Female,50 - 59,1241,1167
1999,Female,60 & Over,780,760
2001,Male,15 - 29,2320,2000
2001,Male,30 - 39,3141,2779
2001,Male,40 - 49,2514,2275
2001,Male,50 - 59,2248,2000
2001,Male,60 & Over,1242,1200
2001,Female,15 - 29,2204,1925
2001,Female,30 - 39,2610,2275
2001,Female,40 - 49,2010,1800
2001,Female,50 - 59,1392,1229
2001,Female,60 & Over,897,867
2002,Male,15 - 29,2320,2000
2002,Male,30 - 39,3074,2708
2002,Male,40 - 49,2552,2333
2002,Male,50 - 59,2088,2000
2002,Male,60 & Over,1242,1200
2002,Female,15 - 29,2166,1875
2002,Female,30 - 39,2639,2300
2002,Female,40 - 49,2088,1842
2002,Female,50 - 59,1493,1300
2002,Female,60 & Over,932,900
2003,Male,15 - 29,2320,2000
2003,Male,30 - 39,3200,2850
2003,Male,40 - 49,2561,2323
2003,Male,50 - 59,2137,2000
2003,Male,60 & Over,1242,1200
2003,Female,15 - 29,2199,1900
2003,Female,30 - 39,2610,2250
2003,Female,40 - 49,2199,1950
2003,Female,50 - 59,1508,1400
2003,Female,60 & Over,848,800
2004,Male,15 - 29,2167,1950
2004,Male,30 - 39,3060,2813
2004,Male,40 - 49,2543,2333
2004,Male,50 - 59,2067,2000
2004,Male,60 & Over,1346,1300
2004,Female,15 - 29,2034,1800
2004,Female,30 - 39,2693,2400
2004,Female,40 - 49,2204,2000
2004,Female,50 - 59,1484,1324
2004,Female,60 & Over,897,867
2006,Male,15 - 29,2258,2000
2006,Male,30 - 39,3473,3092
2006,Male,40 - 49,2710,2500
2006,Male,50 - 59,2044,2000
2006,Male,60 & Over,1346,1300
2006,Female,15 - 29,2143,1900
2006,Female,30 - 39,2943,2625
2006,Female,40 - 49,2260,2000
2006,Female,50 - 59,1500,1408
2006,Female,60 & Over,905,867
2007,Male,15 - 29,2260,2000
2007,Male,30 - 39,3673,3263
2007,Male,40 - 49,3000,2708
2007,Male,50 - 59,2147,2000
2007,Male,60 & Over,1346,1300
2007,Female,15 - 29,2260,2000
2007,Female,30 - 39,3108,2800
2007,Female,40 - 49,2449,2167
2007,Female,50 - 59,1654,1517
2007,Female,60 & Over,983,950
2007a,Male,15 - 29,2260,2000
2007a,Male,30 - 39,3673,3250
2007a,Male,40 - 49,3000,2708
2007a,Male,50 - 59,2126,2000
2007a,Male,60 & Over,1346,1300
2007a,Female,15 - 29,2260,2000
2007a,Female,30 - 39,3153,2813
2007a,Female,40 - 49,2449,2167
2007a,Female,50 - 59,1654,1517
2007a,Female,60 & Over,983,950
2008,Male,15 - 29,2481,2167
2008,Male,30 - 39,4122,3669
2008,Male,40 - 49,3350,3000
2008,Male,50 - 59,2400,2200
2008,Male,60 & Over,1500,1500
2008,Female,15 - 29,2481,2167
2008,Female,30 - 39,3553,3125
2008,Female,40 - 49,2854,2500
2008,Female,50 - 59,1796,1625
2008,Female,60 & Over,1056,1000
2009,Male,15 - 29,2481,2167
2009,Male,30 - 39,4008,3591
2009,Male,40 - 49,3435,3033
2009,Male,50 - 59,2500,2300
2009,Male,60 & Over,1601,1517
2009,Female,15 - 29,2481,2167
2009,Female,30 - 39,3500,3094
2009,Female,40 - 49,2863,2500
2009,Female,50 - 59,2004,1950
2009,Female,60 & Over,1066,1035
2010,Male,15 - 29,2605,2295
2010,Male,30 - 39,4109,3627
2010,Male,40 - 49,3721,3250
2010,Male,50 - 59,2508,2383
2010,Male,60 & Over,1706,1625
2010,Female,15 - 29,2481,2167
2010,Female,30 - 39,3721,3250
2010,Female,40 - 49,3000,2708
2010,Female,50 - 59,2100,1950
2010,Female,60 & Over,1168,1125
2011,Male,15 - 29,2628,2300
2011,Male,30 - 39,4500,3988
2011,Male,40 - 49,4124,3733
2011,Male,50 - 59,2888,2600
2011,Male,60 & Over,1875,1800
2011,Female,15 - 29,2657,2325
2011,Female,30 - 39,3989,3467
2011,Female,40 - 49,3465,3000
2011,Female,50 - 59,2342,2100
2011,Female,60 & Over,1282,1208
2012,Male,15 - 29,2706,2360
2012,Male,30 - 39,4736,4117
2012,Male,40 - 49,4736,4125
2012,Male,50 - 59,3000,2708
2012,Male,60 & Over,2000,1950
2012,Female,15 - 29,2764,2383
2012,Female,30 - 39,4176,3646
2012,Female,40 - 49,3712,3250
2012,Female,50 - 59,2427,2167
2012,Female,60 & Over,1363,1300
2013,Male,15 - 29,2900,2500
2013,Male,30 - 39,5050,4500
2013,Male,40 - 49,5000,4410
2013,Male,50 - 59,3250,3000
2013,Male,60 & Over,2098,2000
2013,Female,15 - 29,2900,2500
2013,Female,30 - 39,4408,3869
2013,Female,40 - 49,3799,3337
2013,Female,50 - 59,2811,2500
2013,Female,60 & Over,1500,1408
2014,Male,15 - 29,3000,2600
2014,Male,30 - 39,5244,4658
2014,Male,40 - 49,5606,5000
2014,Male,50 - 59,3420,3033
2014,Male,60 & Over,2158,2017
2014,Female,15 - 29,3016,2602
2014,Female,30 - 39,4640,4000
2014,Female,40 - 49,4176,3625
2014,Female,50 - 59,2900,2574
2014,Female,60 & Over,1623,1517
2015,Male,15 - 29,3144,2700
2015,Male,30 - 39,5460,4785
2015,Male,40 - 49,5704,5000
2015,Male,50 - 59,3640,3250
2015,Male,60 & Over,2150,2000
2015,Female,15 - 29,3168,2708
2015,Female,30 - 39,4837,4163
2015,Female,40 - 49,4437,3850
2015,Female,50 - 59,3000,2700
2015,Female,60 & Over,1736,1600
2016,Male,15 - 29,3276,2817
2016,Male,30 - 39,5519,4838
2016,Male,40 - 49,5958,5208
2016,Male,50 - 59,3656,3250
2016,Male,60 & Over,2362,2167
2016,Female,15 - 29,3358,2900
2016,Female,30 - 39,5070,4333
2016,Female,40 - 49,4563,4000
2016,Female,50 - 59,3168,2800
2016,Female,60 & Over,1805,1640
2017,Male,15 - 29,3422,3000
2017,Male,30 - 39,5704,4983
2017,Male,40 - 49,6338,5417
2017,Male,50 - 59,3900,3481
2017,Male,60 & Over,2226,2058
2017,Female,15 - 29,3510,3000
2017,Female,30 - 39,5070,4350
2017,Female,40 - 49,4995,4333
2017,Female,50 - 59,3390,3000
2017,Female,60 & Over,1863,1733
2018,Male,15 - 29,3486,3000
2018,Male,30 - 39,5733,5000
2018,Male,40 - 49,6352,5625
2018,Male,50 - 59,4212,3792
2018,Male,60 & Over,2500,2333
2018,Female,15 - 29,3510,3000
2018,Female,30 - 39,5070,4375
2018,Female,40 - 49,5265,4550
2018,Female,50 - 59,3475,3000
2018,Female,60 & Over,2000,1842
2019,Male,15 - 29,3510,3014
2019,Male,30 - 39,5801,5000
2019,Male,40 - 49,6824,5950
2019,Male,50 - 59,4500,4000
2019,Male,60 & Over,2688,2500
2019,Female,15 - 29,3549,3061
2019,Female,30 - 39,5460,4667
2019,Female,40 - 49,5297,4626
2019,Female,50 - 59,3673,3250
2019,Female,60 & Over,2346,2167
2020,Male,15 - 29,3549,3033
2020,Male,30 - 39,5850,5000
2020,Male,40 - 49,6713,5950
2020,Male,50 - 59,4437,3948
2020,Male,60 & Over,2449,2275
2020,Female,15 - 29,3686,3150
2020,Female,30 - 39,5382,4658
2020,Female,40 - 49,5660,4875
2020,Female,50 - 59,3756,3250
2020,Female,60 & Over,2126,1993
2021,Male,15 - 29,3549,3080
2021,Male,30 - 39,5850,5000
2021,Male,40 - 49,7020,6004
2021,Male,50 - 59,4680,4067
2021,Male,60 & Over,2688,2500
2021,Female,15 - 29,3549,3033
2021,Female,30 - 39,5382,4658
2021,Female,40 - 49,5850,5000
2021,Female,50 - 59,4095,3501
2021,Female,60 & Over,2362,2167
2022,Male,15 - 29,3978,3467
2022,Male,30 - 39,6338,5417
2022,Male,40 - 49,7605,6500
2022,Male,50 - 59,5460,4875
2022,Male,60 & Over,2750,2500
2022,Female,15 - 29,4000,3467
2022,Female,30 - 39,5850,5000
2022,Female,40 - 49,6020,5208
2022,Female,50 - 59,4585,4000
2022,Female,60 & Over,2384,2167
2023,Male,15 - 29,4095,3500
2023,Male,30 - 39,6338,5500
2023,Male,40 - 49,7758,6725
2023,Male,50 - 59,5460,4900
2023,Male,60 & Over,3000,2800
2023,Female,15 - 29,4183,3600
2023,Female,30 - 39,5850,5000
2023,Female,40 - 49,6338,5417
2023,Female,50 - 59,4777,4117
2023,Female,60 & Over,2664,2421
2024,Male,15 - 29,4095,3500
